country,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AUS,CO2,0.582013209,0.634896142,0.689811223,0.767034611,0.868784883,0.919397407,0.94555277,1.153686321,1.328724678,1.512899648,1.701121427,1.818643351,1.9304128,1.925923746,2.035070068,1.963452358,1.829691146,1.815787255,1.830382473,1.943183733,2.189138773,2.200550764,2.045073727,2.03811239,2.490909726,2.532969648,2.663250306,2.861739749,2.67471425
AUT,CO2,0.050076641,0.050067804,0.051834284,0.048312129,0.043413995,0.043623782,0.039664378,0.048631722,0.051219077,0.046941656,0.050972912,0.053495726,0.056713101,0.05903448,0.061311986,0.065381622,0.072992328,0.079812564,0.088169479,0.094114324,0.088174769,0.095509765,0.102524989,0.09684328,0.100583324,0.109904832,0.115094765,0.116047072,0.120392813
BEL,CO2,0.178355883,0.177682133,0.17588435,0.174073756,0.178764175,0.178127273,0.176378511,0.17544926,0.174610937,0.174226734,0.169043227,0.1675326,0.167486588,0.164112524,0.16441886,0.164270541,0.163049021,0.163543289,0.161250674,0.166247116,0.172066033,0.172531419,0.171737642,0.177660341,0.186187673,0.188727089,0.191124469,0.191404288,0.190469294
BGR,CO2,0.045486806,0.021262506,0.016023047,0.018999086,0.023339357,0.014882491,0.017448742,0.017515374,0.011200727,0.016114494,0.016649733,0.019295943,0.017854049,0.016190431,0.018950835,0.018324494,0.017121867,0.015752733,0.020303067,0.0248534,0.018053933,0.026282667,0.031322133,0.0372086,0.030860133,0.0312686,0.035933333,0.033423482,0.03373883
BLR,CO2,2.455557207,2.191813213,1.963225147,1.621513153,0.97083316,1.077349093,1.09823098,1.288776793,1.168726607,0.87373242,0.800190233,0.864805113,0.967129533,1.295139267,1.313198333,1.4961386,1.393755733,1.373372733,1.318534067,1.178767333,1.319149333,1.2069574,1.2999756,0.922292067,1.115632,0.967108,0.926872,1.047304,0.922472
CAN,CO2,1.190637067,1.1310024,1.202522933,1.192568279,1.376940289,1.500963587,1.484772969,1.599098304,1.661819048,1.544734972,1.635669828,1.403191912,1.521961924,1.576867095,1.477035337,1.420863165,1.466821943,1.744491596,1.722199186,1.840093655,1.787519765,2.004433221,2.332633873,2.675681067,2.499544755,2.565942133,2.543909867,2.510909867,2.605093333
CHE,CO2,0.048903541,0.042302197,0.042199913,0.042060648,0.042021902,0.042020318,0.041978853,0.03777696,0.036362987,0.037301344,0.039317581,0.040046526,0.040899095,0.039281849,0.043772069,0.042158265,0.041636976,0.045913109,0.043640253,0.041490875,0.044437598,0.043488717,0.041597693,0.042283204,0.045770282,0.044435752,0.047321138,0.047774796,0.046384819
CYP,CO2,0.001815,0.0014667,0.0019177,0.0016023,0.0017035,0.0015407,0.0013779,0.0011015,0.000836,0.0009167,0.001672,0.0001665,0.0004195,0.0007311,0.0009467,0.0009665,0.001166,0.0011059,0.0005368,0.0011389,0.0007377,0.0009086,0.0005488,0.0007905,0.000407,0.0003982,0.000394,0.000418,0.000223447
CZE,CO2,1.29616,0.44793,0.21774,0.19691,0.19516,0.22053,0.21384,0.16066,0.2338,0.17555,0.16082,0.1829,0.16366,0.14032,0.14682,0.13868,0.16103,0.2025,0.19575,0.15,0.17324,0.19126,0.25243,0.26232,0.20857,0.35151,0.37886,0.283321039,0.287292259
DEU,CO2,3.183614051,2.904563178,2.603751041,2.367732439,1.936220576,2.222145388,2.2249448,2.320038221,2.521021895,2.607773285,2.803467166,2.554207845,2.637194446,2.464202994,2.490121025,2.325348063,2.312947708,2.42727863,2.482588771,2.59034181,2.325044294,2.635586866,2.573555799,2.69857136,2.939978258,3.071001619,2.772889976,2.92399533,2.913817292
DNK,CO2,0.61858149,0.511639015,0.403472019,0.349971389,0.412212708,0.537083454,0.417791645,0.483225546,0.263933023,0.273777173,0.2683618,0.206743786,0.236588284,0.228654086,0.159710658,0.221797859,0.196022921,0.194017372,0.231246243,0.186812496,0.156194068,0.165052148,0.192040694,0.246465001,0.240246745,0.177452551,0.216598474,0.219120965,0.244184598
ESP,CO2,0.499394613,0.428995849,0.443587144,0.396534864,0.404366864,0.337142576,0.485296111,0.4704907,0.53155448,0.56606964,0.616795242,0.572684434,0.551423358,0.556536194,0.526263465,0.416794318,0.461964334,0.456733616,0.345338935,0.454991899,0.500953886,0.450268621,0.435665904,0.494927922,0.586427106,0.504681451,0.509954873,0.611078466,0.498609661
EST,CO2,0.013110447,0.012096795,0.003087601,0.002575319,0.002811731,0.004233787,0.004240533,0.006238079,0.025311193,0.026299812,0.019849161,0.021276141,0.019108523,0.017239026,0.010381781,0.008628473,0.006564387,0.005797647,0.005323717,0.001421983,0.009373577,0.003940239,0.007008871,0.006471527,0.008667896,0.009070295,0.01402816,0.016404013,0.019406419
EUU,CO2,13.40082196,10.76511089,9.194529891,9.219752963,8.595889102,9.469320387,9.359550984,9.865476411,9.713059027,9.517261722,9.41675375,9.189818306,9.088629703,8.876718005,8.627705633,8.323280495,7.95984359,8.087081537,8.013190124,8.11298179,7.842310132,8.121361314,8.276162381,8.856638962,8.989958962,9.071102241,9.406851078,9.136908112,9.295174219
FIN,CO2,0.647396285,0.457560332,0.299474677,0.473126356,0.473183517,0.410271932,0.477834398,0.491790656,0.452405966,0.453604502,0.350854017,0.419852009,0.447216951,0.302947454,0.277022989,0.290999394,0.322016965,0.27724458,0.326557753,0.339716131,0.278989126,0.202119247,0.203293336,0.30536384,0.223916521,0.181859541,0.268368764,0.198487211,0.211759474
FRA,CO2,1.765492831,1.765794872,1.605310379,1.756369217,1.739457245,1.851859128,1.786405813,1.954501124,1.936505031,1.923034448,1.826102893,1.797541897,1.800520026,1.851615849,1.828023614,1.799611865,1.73184326,1.756532472,1.773342096,1.875919115,1.813447555,1.866739257,1.980751669,1.885252377,1.96290483,2.003012644,2.013829178,1.943018833,2.018588051
GBR,CO2,1.343583416,1.344853623,1.246657129,0.832438057,1.227974721,1.222185983,1.274633216,0.566709429,1.002630843,1.125873848,0.76592769,0.571906751,0.749732457,1.487508945,1.624046157,1.61225294,1.588755049,1.605805138,1.575036384,1.506913379,1.448276283,1.567925765,1.365611409,1.151709028,1.506053558,1.271821749,1.294587852,1.283789378,1.269475127
GRC,CO2,0.060409905,0.058130286,0.055565714,0.04374019,0.04074819,0.045022476,0.04601981,0.04374019,0.043882667,0.041745524,0.038468571,0.03704381,0.036046476,0.035191619,0.036331429,0.031914667,0.02992,0.033624381,0.028637714,0.024933333,0.030347429,0.025844326,0.024996735,0.026006749,0.023642784,0.023413682,0.026360802,0.034140392,0.032909559
HRV,CO2,0.050019734,0.050946364,0.0655116,0.052139267,0.047569867,0.046293867,0.052439933,0.068387733,0.0442486,0.050487067,0.060865933,0.092094933,0.0807554,0.0717926,0.075940333,0.085461377,0.080667071,0.0893244,0.096602542,0.076962471,0.088037284,0.105178314,0.101233998,0.074614654,0.069466796,0.069340146,0.076166224,0.081127772,0.075964754
HUN,CO2,0.38474671,0.274198039,0.236611306,0.195444968,0.158900572,0.116757496,0.105129185,0.095310136,0.09600717,0.094673284,0.104201709,0.108179201,0.116782525,0.127159461,0.151424698,0.142261842,0.143577806,0.149110852,0.090747689,0.098047543,0.105819561,0.129433694,0.142290139,0.174006827,0.168914386,0.202833297,0.208976163,0.222992406,0.214253552
IRL,CO2,0.451713023,0.414773543,0.373686637,0.457175017,0.36836066,0.580862301,0.571220397,0.506120713,0.400952034,0.486761153,0.458226783,0.468919147,0.354704922,0.465242609,0.307653401,0.32754832,0.319611893,0.427666653,0.329180573,0.3963432,0.52617708,0.43094436,0.275747267,0.562783027,0.44562469,0.465412347,0.51270648,0.416736027,0.546214387
ISL,CO2,0.000055,0.0000573,0.000059,0.0000586,0.0000589,0.00006116,0.0000656,0.00006248,0.00007568,0.0000721,0.0000742,0.0000795,0.00008008,0.002536687,0.00271261,0.003600242,0.003674459,0.005016342,0.005719588,0.004216554,0.00243477,0.002399759,0.004225384,0.004309139,0.004090812,0.00379026,0.004129304,0.00398621,0.00641917
