Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,37.932,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.712703514,5.156685902,6.26456582,5.231622377,4.537878897,5.318555997,6.357033676,7.306308855,6.639898278,6.059508763
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,..,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.209111895,4.301913806,4.201815869,4.070111687,3.975650744,3.742029812,3.40561754,..,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,70.1,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,34.43213957,40.42762794,37.93224826,38.86839839,..,..,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3074.702071,..,..,..,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2029.922825,..,..,..,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.60541444,17.99658794,16.29956168,12.91942461
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.53794E+11,1.77185E+11,1.81639E+11,2.25925E+11,2.77827E+11,2.80685E+11,2.55558E+11,2.46307E+11,2.47681E+11,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.312,2.301,2.241,2.168,2.039,1.994,1.911,1.885,1.876,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4884127676,6658049679,15200600518,23866141440
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,293204,290970,290100,288990,287910,286810,285730,284636.667,..,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.87903E+11,6.31133E+11,6.40591E+11
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.71800993,4.95636996,-1.550501536
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12350,12600,12220,13140,12430,11220,9010,9980,11590,12520
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19250,19680,19800,22910,23620,22610,21700,25560,28490,28710
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,5.26785E+11,5.4328E+11,5.32504E+11,5.78798E+11,5.53193E+11,5.04056E+11,4.08629E+11,4.57385E+11,5.35914E+11,5.8411E+11
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8.21244E+11,8.4896E+11,8.63207E+11,1.00926E+12,1.05115E+12,1.01609E+12,9.84724E+11,1.1709E+12,1.31704E+12,1.33942E+12
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.26288101,17.07070488,17.66322786,18.21256717,16.61388502,14.2100304,14.41515574,18.05734002,17.62504501,19.47191024
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.061130378,9.225691782,8.982391303,9.205419254,5.40298411,5.212790589,6.903889256,4.422891393,4.751575236,..
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,89,90,89,94,86,77,86,83,..
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.59828437,14.93343631,15.3509523,14.05239192
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,5,..,4.9,5,4.9,4.6,4.7,5,5.4,..
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.40887637,23.9172428,24.16370489,25.06638758
